<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<TICKER>
2023-10-19T00:00:00.000000000,28320.0,28916.89,28100.66,28713.71,35895.50179,BTC/USDT
2023-10-20T00:00:00.000000000,28713.71,30207.55,28578.29,29669.04,59422.0992,BTC/USDT
2023-10-21T00:00:00.000000000,29669.05,30379.99,29464.77,29909.8,27517.51897,BTC/USDT
2023-10-22T00:00:00.000000000,29909.8,30248.0,29640.0,29992.46,22852.54563,BTC/USDT
2023-10-23T00:00:00.000000000,29992.46,34741.91,29883.6,33069.99,93513.64246,BTC/USDT
2023-10-24T00:00:00.000000000,33069.99,35280.0,32832.34,33922.73,115265.02418,BTC/USDT
2023-10-25T00:00:00.000000000,33922.73,35132.85,33679.05,34496.05,54887.02529,BTC/USDT
2023-10-26T00:00:00.000000000,34496.05,34824.13,33751.0,34151.66,39744.66255,BTC/USDT
2023-10-27T00:00:00.000000000,34151.66,34245.0,33390.95,33892.02,32330.40106,BTC/USDT
2023-10-28T00:00:00.000000000,33892.01,34493.33,33860.0,34081.0,16880.13144,BTC/USDT
2023-10-29T00:00:00.000000000,34081.01,34750.11,33930.0,34525.89,20685.52176,BTC/USDT
2023-10-30T00:00:00.000000000,34525.88,34856.0,34062.84,34474.73,33657.95976,BTC/USDT
2023-10-31T00:00:00.000000000,34474.74,34720.49,34025.0,34639.77,32737.89822,BTC/USDT
2023-11-01T00:00:00.000000000,34639.78,35582.0,34097.39,35421.43,53473.28165,BTC/USDT
2023-11-02T00:00:00.000000000,35421.43,35984.99,34300.0,34941.59,48015.57732,BTC/USDT
2023-11-03T00:00:00.000000000,34941.58,34946.5,34120.0,34716.78,39071.20644,BTC/USDT
2023-11-04T00:00:00.000000000,34716.78,35255.0,34585.18,35062.07,18377.55545,BTC/USDT
2023-11-05T00:00:00.000000000,35062.06,35380.0,34448.0,35011.88,24528.73376,BTC/USDT
2023-11-06T00:00:00.000000000,35011.89,35276.33,34725.9,35046.09,22346.47086,BTC/USDT
2023-11-07T00:00:00.000000000,35046.09,35888.0,34523.06,35399.12,38688.73692,BTC/USDT
2023-11-08T00:00:00.000000000,35399.13,36106.0,35100.0,35624.72,33401.34137,BTC/USDT
2023-11-09T00:00:00.000000000,35624.72,37972.24,35534.05,36701.09,82537.88885,BTC/USDT
2023-11-10T00:00:00.000000000,36701.1,37526.0,36324.71,37301.63,43414.04898,BTC/USDT
2023-11-11T00:00:00.000000000,37301.63,37408.26,36666.93,37130.0,22984.97235,BTC/USDT
2023-11-12T00:00:00.000000000,37129.99,37222.22,36731.1,37064.13,17687.18874,BTC/USDT
2023-11-13T00:00:00.000000000,37064.13,37417.99,36333.0,36462.93,32798.18252,BTC/USDT
2023-11-14T00:00:00.000000000,36462.93,36744.0,34800.0,35551.19,45503.68416,BTC/USDT
2023-11-15T00:00:00.000000000,35551.2,37980.0,35360.0,37858.2,53569.13385,BTC/USDT
2023-11-16T00:00:00.000000000,37858.2,37929.54,35500.0,36163.51,47490.39566,BTC/USDT
2023-11-17T00:00:00.000000000,36163.51,36800.0,35861.1,36613.92,38283.61112,BTC/USDT
2023-11-18T00:00:00.000000000,36613.91,36845.49,36178.58,36568.1,17102.24186,BTC/USDT
2023-11-19T00:00:00.000000000,36568.11,37500.0,36384.02,37359.86,21246.34648,BTC/USDT
2023-11-20T00:00:00.000000000,37359.85,37750.0,36677.0,37448.78,36022.70291,BTC/USDT
2023-11-21T00:00:00.000000000,37448.79,37649.44,35735.0,35741.65,47646.54804,BTC/USDT
2023-11-22T00:00:00.000000000,35741.65,37861.1,35632.01,37408.34,45051.30697,BTC/USDT
2023-11-23T00:00:00.000000000,37408.35,37653.44,36870.0,37294.28,23827.92882,BTC/USDT
2023-11-24T00:00:00.000000000,37294.27,38414.0,37251.51,37713.57,44680.80646,BTC/USDT
2023-11-25T00:00:00.000000000,37713.57,37888.0,37591.1,37780.67,11396.14464,BTC/USDT
2023-11-26T00:00:00.000000000,37780.67,37814.63,37150.0,37447.43,21264.53723,BTC/USDT
2023-11-27T00:00:00.000000000,37447.42,37569.23,36707.0,37242.7,30001.07376,BTC/USDT
2023-11-28T00:00:00.000000000,37242.7,38377.0,36868.41,37818.87,37544.46667,BTC/USDT
2023-11-29T00:00:00.000000000,37818.88,38450.0,37570.0,37854.64,32994.19107,BTC/USDT
2023-11-30T00:00:00.000000000,37854.65,38145.85,37500.0,37723.96,24740.29147,BTC/USDT
2023-12-01T00:00:00.000000000,37723.97,38999.0,37615.86,38682.52,43415.66324,BTC/USDT
2023-12-02T00:00:00.000000000,38682.51,39717.14,38641.61,39450.35,26696.92161,BTC/USDT
2023-12-03T00:00:00.000000000,39450.35,40250.0,39274.86,39972.26,26710.65335,BTC/USDT
2023-12-04T00:00:00.000000000,39972.26,42420.0,39972.26,41991.1,79272.33059,BTC/USDT
2023-12-05T00:00:00.000000000,41991.1,44488.0,41414.0,44073.32,67490.74644,BTC/USDT
